ID1,ID2,friends_count,link_orient,link_type
203861508,63442801,,0,in_community
203861508,63708206,,0,in_community
203861508,64292924,,0,in_community
203861508,65652356,,0,in_community
203861508,66036248,,0,in_community
203861508,67292351,,0,in_community
203861508,67845382,,0,in_community
203861508,67888368,,0,in_community
203861508,70469340,,0,in_community
203861508,71138395,,0,in_community
203861508,72378974,,0,in_community
203861508,72495085,,0,in_community
203861508,75149440,,0,in_community
203861508,75410445,,0,in_community
203861508,76552532,,0,in_community
203861508,76746437,,0,in_community
203861508,78273068,,0,in_community
203861508,79138567,,0,in_community
203861508,79759696,,0,in_community
203861508,82101402,,0,in_community
203861508,84761636,,0,in_community
203861508,88245281,,0,in_community
203861508,88511767,,0,in_community
203861508,97616552,,0,in_community
203861508,100021690,,0,in_community
203861508,103133619,,0,in_community
203861508,103428411,,0,in_community
203861508,104757197,,0,in_community
203861508,107710327,,0,in_community
203861508,111557607,,0,in_community
203861508,122503582,,0,in_community
203861508,123077290,,0,in_community
203861508,123851409,,0,in_community
203861508,125962295,,0,in_community
203861508,128033123,,0,in_community
203861508,128692347,,0,in_community
203861508,130515799,,0,in_community
203861508,131468604,,0,in_community
203861508,131489096,,0,in_community
203861508,132950129,,0,in_community
203861508,133726577,,0,in_community
203861508,137011084,,0,in_community
203861508,139105204,,0,in_community
203861508,140317415,,0,in_community
203861508,140765670,,0,in_community
203861508,141931080,,0,in_community
203861508,143503361,,0,in_community
203861508,145037861,,0,in_community
203861508,154631231,,0,in_community
203861508,161180646,,0,in_community
203861508,162360063,,0,in_community
203861508,166621071,,0,in_community
