ID1,ID2,link_type,vertex_from,weight
alekseevarn,kozache_ssmid,link,,2
alekseevarn,aarakelyaan,link,,1
alekseevarn,JarritaLT,link,,2
alekseevarn,RevonenkoSOphie,link,,2
sveta63790683,v_tretyakov,link,,3
popo1982popo,Artem27Revva,link,,2
popo1982popo,Mordor199,link,,3
iaBmlrmt6zfSIZ8,ProshlgdnLmonat,link,,5
iaBmlrmt6zfSIZ8,aarakelyaan,link,,2
iaBmlrmt6zfSIZ8,Vityzeva,link,,1
Tarik251278,lentaruofficial,link,,3
Tarik251278,Vityzeva,link,,3
DelatrieMaxim,MusicTabletsss,link,,3
DelatrieMaxim,Olegkostin13,link,,3
Svetlan23210783,v_tretyakov,link,,1
homaychok05,MrMaaay,link,,5
homaychok05,Mordor199,link,,5
samsvet73,lentaruofficial,link,,3
samsvet73,ProshlgdnLmonat,link,,3
samsvet73,Vityzeva,link,,2
Plushka46,MrMaaay,link,,3
MeansMolotov,slaan1,link,,3
MeansMolotov,SanyaBulbul,link,,3
MeansMolotov,v_tretyakov,link,,1
MeansMolotov,marinochka_San_,link,,7
MeansMolotov,ProshlgdnLmonat,link,,3
dariasport,ProshlgdnLmonat,link,,4
ISnwuPamslg7mIR,MrMaaay,link,,4
nysya_nysya,jaroslavalunina,link,,4
nysya_nysya,ProshlgdnLmonat,link,,4
nysya_nysya,miraslava121,link,,4
nysya_nysya,8vPKMuI7Dow9pHJ,link,,1
hrytch2,alcashist,link,,3
hrytch2,MrMaaay,link,,1
Art09355711,artemprotiv,link,,2
Art09355711,MrMaaay,link,,1
Art09355711,lentaruofficial,link,,1
Art09355711,Mordor199,link,,2
mar5700,pograncazhena,link,,2
mar5700,lentaruofficial,link,,3
mar5700,SAM18601,link,,2
mar5700,aarakelyaan,link,,1
mar5700,trucker228,link,,1
MadamMarusa2015,v_tretyakov,link,,5
MadamMarusa2015,ProshlgdnLmonat,link,,3
MadamMarusa2015,ViktorDzyuba,link,,3
MadamMarusa2015,Vityzeva,link,,4
kolochkov,AnNA_Kon_da2020,link,,2
kolochkov,ProshlgdnLmonat,link,,3
kolochkov,MssTatiana,link,,3
IXAIzwWVauwGI7P,LenskajaLyubov,link,,1
IXAIzwWVauwGI7P,proarm1975,link,,1
IXAIzwWVauwGI7P,Serqei161rus,link,,7
IXAIzwWVauwGI7P,ProshlgdnLmonat,link,,1
IXAIzwWVauwGI7P,aarakelyaan,link,,1
oliahanaglaa,v_tretyakov,link,,3
oliahanaglaa,Master70410861,link,,4
indecentKurt,lentaruofficial,link,,4
taxi27414,dorian_deep,link,,3
taxi27414,awsom73457408,link,,3
taxi27414,v_tretyakov,link,,3
taxi27414,SAM18601,link,,2
taxi27414,Vityzeva,link,,3
slaan1,MeansMolotov,link,,3
slaan1,marinochka_San_,link,,1
slaan1,Vityzeva,link,,2
NordDilCom,MrMaaay,link,,4
vega4060,12lwfnm,link,,3
vega4060,Vityzeva,link,,5
yulias18639348,IOr1s,link,,3
yulias18639348,versl9,link,,3
yulias18639348,8aq6bMTHdrd3RWn,link,,3
Andrej56676296,v_tretyakov,link,,3
ZWZoNCY3IaP8MwD,LenaAn13,link,,2
ZWZoNCY3IaP8MwD,12lwfnm,link,,3
ZWZoNCY3IaP8MwD,marinochka_San_,link,,1
ZWZoNCY3IaP8MwD,ProshlgdnLmonat,link,,1
ZWZoNCY3IaP8MwD,Trevolt1,link,,3
ZWZoNCY3IaP8MwD,RevonenkoSOphie,link,,1
Scaurus9,MrMaaay,link,,1
Scaurus9,SergeyBoyko_,link,,3
Scaurus9,Mordor199,link,,1
Scaurus9,Natasha_shinai,link,,3
Scaurus9,ksondarianka,link,,3
Scaurus9,LivePutin,link,,3
Upravdom_Dima,gku_guis,link,,1
bullxead,rushen1960,link,,2
bullxead,letov_2013,link,,2
KT_ROMA,Vasisualiy10,link,,1
KT_ROMA,proarm1975,link,,2
KT_ROMA,v_tretyakov,link,,3
KT_ROMA,ProshlgdnLmonat,link,,3
KT_ROMA,RevonenkoSOphie,link,,2
kotsinger,2Nonane,link,,3
kotsinger,RbICb,link,,2
kotsinger,07_Sonia,link,,3
kotsinger,people__idiots,link,,3
kotsinger,vatnik_iskariot,link,,3
kotsinger,akdardjan,link,,3
kotsinger,Fniek,link,,3
Andrey56015363,Petrovich_Mos,link,,1
Andrey56015363,ProshlgdnLmonat,link,,4
MrMaaay,h3SUph2I4CxhKZO,link,,1
MrMaaay,di_diavol,link,,3
MrMaaay,SVRyTXAgyxu4Z0c,link,,2
MrMaaay,AndreyNiagara62,link,,1
MrMaaay,vborovikov,link,,3
MrMaaay,Ordos77,link,,3
MrMaaay,TEj3P2MRXImJLQu,link,,1
MrMaaay,ibVVWwTZEWZtohP,link,,4
MrMaaay,psinazlaja,link,,1
MrMaaay,qwsreJUgcpPQtIn,link,,3
MrMaaay,St91521478,link,,4
MrMaaay,IvanoffAvanes,link,,5
MrMaaay,kaskadas,link,,1
MrMaaay,zoenka12,link,,4
MrMaaay,artemprotiv,link,,1
MrMaaay,gfhifrjdf1985,link,,1
MrMaaay,2Nonane,link,,1
MrMaaay,homaychok05,link,,5
MrMaaay,Plushka46,link,,3
MrMaaay,ISnwuPamslg7mIR,link,,4
MrMaaay,hrytch2,link,,1
MrMaaay,Art09355711,link,,1
MrMaaay,NordDilCom,link,,4
MrMaaay,Scaurus9,link,,1
MrMaaay,50valdar,link,,6
MrMaaay,manefestant,link,,1
MrMaaay,porzellan2013,link,,4
MrMaaay,paleshuk_bolota,link,,1
MrMaaay,washehz,link,,1
MrMaaay,rushen1960,link,,1
MrMaaay,SergeyBoyko_,link,,1
MrMaaay,letov_2013,link,,1
MrMaaay,Artem27Revva,link,,4
MrMaaay,slowepoke,link,,4
MrMaaay,Avgystinka,link,,5
MrMaaay,yrslv_kng,link,,1
MrMaaay,saeeindeed,link,,8
MrMaaay,0pZ8rPYOCnNODss,link,,2
MrMaaay,Tamara49409957,link,,1
MrMaaay,JollyRogerFlag,link,,1
MrMaaay,Oskianocner,link,,4
MrMaaay,evg_nt,link,,2
MrMaaay,GG_TOV,link,,4
MrMaaay,versl9,link,,1
MrMaaay,ErlangRay,link,,2
MrMaaay,SAM18601,link,,2
MrMaaay,bazyma,link,,1
MrMaaay,pomazenkov,link,,3
MrMaaay,Mordor199,link,,1
MrMaaay,PolygamousBully,link,,1
MrMaaay,Bluesman_links,link,,3
MrMaaay,Panikushka5063,link,,4
MrMaaay,bad_rzn,link,,1
MrMaaay,Artishock11,link,,10
MrMaaay,westrip4,link,,1
MrMaaay,centr_snab,link,,1
MrMaaay,Don_Dimon_,link,,1
MrMaaay,ruslansalkov,link,,4
MrMaaay,AA02122,link,,2
MrMaaay,red__laugh,link,,3
MrMaaay,Brednev,link,,4
MrMaaay,dhUa0nyLR3Lu8wx,link,,3
MrMaaay,sunFqfTGsre8hnW,link,,1
MrMaaay,postmantbf,link,,4
MrMaaay,Huawei99871513,link,,8
LenskajaLyubov,LenaAn13,link,,4
LenskajaLyubov,IXAIzwWVauwGI7P,link,,1
LenskajaLyubov,AlyansKaschej,link,,4
LenskajaLyubov,KYablochkin,link,,1
LenskajaLyubov,marinochka_San_,link,,3
LenskajaLyubov,ProshlgdnLmonat,link,,4
LenskajaLyubov,RevonenkoSOphie,link,,1
awsom73457408,taxi27414,link,,3
awsom73457408,Igor3081966,link,,2
G99sNBMklKlCB4v,djerman_sblef,link,,3
GRfnNsLZRLuY6TJ,LenaAn13,link,,4
GRfnNsLZRLuY6TJ,Mmarek,link,,2
GRfnNsLZRLuY6TJ,rbn197516,link,,4
GRfnNsLZRLuY6TJ,Serqei161rus,link,,1
GRfnNsLZRLuY6TJ,iPeisraelia,link,,2
GRfnNsLZRLuY6TJ,ProshlgdnLmonat,link,,6
GRfnNsLZRLuY6TJ,Igor3081966,link,,1
Shelegnina,aarakelyaan,link,,1
haw7qRFvWqY5ZT3,v_tretyakov,link,,6
50valdar,MrMaaay,link,,6
50valdar,rushen1960,link,,1
AlexeySapelkin,_kriscool_,link,,3
AlexeySapelkin,sympel077,link,,3
hrama2,v_tretyakov,link,,2
hrama2,Vityzeva,link,,6
8qJ0R69usEaKnZS,Vityzeva,link,,8
GALINAUSTINOVA,lentaruofficial,link,,3
GALINAUSTINOVA,v_tretyakov,link,,2
GALINAUSTINOVA,yuroskolskiy,link,,2
GALINAUSTINOVA,trucker228,link,,2
manefestant,MrMaaay,link,,1
Kapusta_LV92,lentaruofficial,link,,2
Kapusta_LV92,Protasova1,link,,3
bondyreva66,lentaruofficial,link,,2
bondyreva66,ProshlgdnLmonat,link,,1
bondyreva66,aarakelyaan,link,,2
bondyreva66,Vityzeva,link,,3
SanyaBulbul,MeansMolotov,link,,3
SanyaBulbul,AnNA_Kon_da2020,link,,2
SanyaBulbul,Maqdalina,link,,2
SanyaBulbul,ProshlgdnLmonat,link,,1
SanyaBulbul,Vityzeva,link,,1
SanyaBulbul,TBAPb007,link,,2
aesamsonov,MaksimovPoms,link,,3
aesamsonov,v_tretyakov,link,,1
aesamsonov,Vityzeva,link,,5
gdOSdABzrEK5fo2,Olegkostin13,link,,3
nadiaillust,v_tretyakov,link,,3
porzellan2013,kir_dik,link,,1
porzellan2013,NTashaair,link,,1
porzellan2013,gfhifrjdf1985,link,,1
porzellan2013,MrMaaay,link,,4
porzellan2013,rushen1960,link,,1
porzellan2013,letov_2013,link,,1
porzellan2013,HoundSleepy,link,,3
porzellan2013,Maschulda,link,,2
porzellan2013,Panikushka5063,link,,1
porzellan2013,bad_rzn,link,,3
maximchinnauzin,Olegkostin13,link,,3
maximchinnauzin,FevralevIgr,link,,3
VByro2013,LenaAn13,link,,4
VByro2013,lentaruofficial,link,,2
VByro2013,v_tretyakov,link,,5
WaveJuliablack,pograncazhena,link,,2
WaveJuliablack,dorian_deep,link,,3
WaveJuliablack,rbn197516,link,,3
WaveJuliablack,v_tretyakov,link,,2
WaveJuliablack,Kryladze,link,,3
WaveJuliablack,ForeverVenera,link,,3
WaveJuliablack,Master70410861,link,,1
WaveJuliablack,NATALIA23706536,link,,3
WaveJuliablack,Fniek,link,,6
GruzdevO,shubkinar,link,,2
GruzdevO,ChernobayMariy,link,,3
GruzdevO,KYablochkin,link,,2
GruzdevO,Maqdalina,link,,2
GruzdevO,mkacapov,link,,2
GruzdevO,aarakelyaan,link,,2
GruzdevO,yuroskolskiy,link,,2
GruzdevO,Vityzeva,link,,1
Ninel1953,YuliKikibasia,link,,4
Ninel1953,v_tretyakov,link,,2
Ninel1953,aarakelyaan,link,,1
RbICb,kotsinger,link,,2
RbICb,Serqei161rus,link,,2
RbICb,RevonenkoSOphie,link,,2
paleshuk_bolota,VictorMaclaud,link,,1
paleshuk_bolota,Petrovich_Mos,link,,1
paleshuk_bolota,MrMaaay,link,,1
paleshuk_bolota,KYablochkin,link,,1
paleshuk_bolota,Dmitriy1909,link,,3
paleshuk_bolota,GrebSG,link,,1
paleshuk_bolota,hyroscope,link,,1
paleshuk_bolota,trucker228,link,,1
paleshuk_bolota,pan_sportsman,link,,1
paleshuk_bolota,TBAPb007,link,,2
AnNA_Kon_da2020,Vasisualiy10,link,,1
AnNA_Kon_da2020,Mmarek,link,,2
AnNA_Kon_da2020,kolochkov,link,,2
